FID,STREETNAME,CLASS,ADMIN_TYPE,RT_NUMBER,ALTRTNUM1,ALTRTNUM2,ALTRTNUM3,ALTRTNUM4,ALTRT1TYPE,RDTYPE,ROUTE_ID,ROUTE_SYST,ROUTE_NUMB,ROUTE_DIRE,RD_SEG_ID,STREET_NAM,FM_ST_NAME,TO_ST_NAME,FACILITY,F_CLASS,URBAN_AREA,URBAN_TYPE,F_F_CLASS,JURISDICTN,NHS,FD_AID_RTE,FD_AID_RD,CONTROL,NUM_LANES,OPP_LANES,SURFACE_TP,SURFACE_WD,SHLDR_RT_W,SHLDR_RT_T,SHLDR_LT_W,SHLDR_LT_T,SHLDR_UL_W,SHLDR_UL_T,MED_WIDTH,MED_TYPE,CURB,LT_SIDEWLK,RT_SIDEWLK,OPERATION,SPEED_LIM,OP_DIR_SL,TRUCK,T_EXC_TYPE,T_EXC_TIME,TRK_NETWRK,TRUCK_RTE,ROW_WIDTH,STRUCT_CND,TERRAIN,TOLL_ROAD,MHS,MGIS_TOWN,CITY,COUNTY,HWY_DIST,MPO,RPA,RTA,MILE_COUNT,AADT,AADT_YEAR,AADT_DERIV,LENGTH_MI,LENGTH_FT,SHAPE_Leng,Shape__Length
7843,NEW SUDBURY STREET,4,0, , , , , ,0,4,N417 EB,N,417,EB,452282,NEW SUDBURY STREET,CONGRESS STREET,CROSS STREET,1,3,09271,1,3,2,14, 127,2,0,2,0,6,22,0,0,0,0,0,0,0,0,3,12,12,1,25,0, ,1,1,0,0,84,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,11583,2016,14,0.04324596,228.33867751,69.5977681007,228.338677506859
7844,HARVARD STREET,4,0, , , , , ,0,4,N1611 NB,N,1611,NB,47866,HARVARD STREET,TALBOT AVENUE,WASHINGTON STREET,1,5,09271,1,4,2,0,  54,3,0,2,0,6,30,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,44,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3894,2016,14,0.04518676,238.58606973,72.7211794968,238.586069729742
7845,METROPOLITAN AVENUE,5,0, , , , , ,0,5,N3052 NB,N,3052,NB,50467,METROPOLITAN AVENUE,PROVIDENCE STREET,ARLINGTON STREET,1,6,09271,1,5,2,0,  45,3,0,2,0,6,35,0,0,0,0,0,0,0,0,3,0,7,2,0,0, ,1,1,0,0,50,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3967,2016,14,0.08031925,424.08565708,129.261566801,424.085657078316
7846,HYDE PARK AVENUE,4,0, , , , , ,0,4,N112 NB,N,112,NB,50517,HYDE PARK AVENUE,DEAD END,WASHINGTON STREET,1,3,09271,1,3,2,15,  54,2,0,2,0,6,30,0,0,0,0,0,0,0,0,3,10,10,2,30,30, ,1,1,0,0,81,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,22800,2016,14,0.12964727,684.53760475,208.647479222,684.537604748918
7847,COLUMBUS AVENUE,2,3,28, , , , ,0,2,SR28 SB,SR,28,SB,62343,COLUMBUS AVENUE,WALNUT AVENUE,TREMONT STREET,1,3,09271,1,3,2,14, 123,2,0,2,2,6,22,0,0,0,0,0,0,5,1,3,0,8,2,30,0, ,1,1,0,0,85,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,0,29469,2009,2,0.0606875,320.43002518,97.667267009,320.430025172934
7848,SAINT CECILIA STREET,5,0, , , , , ,0,5,L206210 NB,L,206210,NB,0,SAINT CECILIA STREET,BOYLSTON STREET,BELVIDERE STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26,0,0,0,0,0,0,0,0,3,8,8,1,0,0, ,1,1,0,0,42,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.08516786,449.686304,137.06465959,449.686304004115
7849,CORTES STREET,5,0, , , , , ,0,5,N2562 WB,N,2562,WB,45087,CORTES STREET,ARLINGTON STREET,BERKELEY STREET,1,6,09271,1,5,2,0,   4,3,0,2,0,6,20,0,0,0,0,0,0,0,0,3,6,6,1,0,0, ,1,1,0,0,32,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3723,2016,14,0.12300104,649.4455115,197.951387808,649.445511503711
7850,MILK STREET,4,0, , , , , ,0,4,N1559 EB,N,1559,EB,54626,MILK STREET,WASHINGTON STREET,CENTRAL WHARF,1,5,09271,1,4,2,0,  65,3,0,2,0,6,32,0,0,0,0,0,0,0,0,3,8,8,1,0,0, ,1,1,0,0,48,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,11199,2016,14,0.041147,217.25618452,66.2198174804,217.256184516522
7851,CENTRE STREET,4,0, , , , , ,0,4,N1582 NB,N,1582,NB,49657,CENTRE STREET,DEDHAM TOWN LINE,WEST ROXBURY CENTRE STREET ROTARY,1,5,09271,1,4,2,0,  54,3,0,4,0,6,65,0,0,0,0,0,0,0,0,3,10,10,2,30,30, ,1,1,0,0,86,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,22447,2016,14,0.03584675,189.27083084,57.6898646199,189.270830845016
7852,WALK HILL STREET,4,0, , , , , ,0,4,N1624 SB,N,1624,SB,48744,WALK HILL STREET,BLUE HILL AVENUE,HYDE PARK AVENUE,1,5,09271,1,4,2,0,  55,3,0,2,0,6,28,0,0,0,0,0,0,0,0,3,6,0,2,30,30, ,1,1,0,0,42,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10780,2016,14,0.08589464,453.52370505,138.234301768,453.523705041673
7853,MARKET STREET,4,0, , , , , ,0,4,N1516 NB,N,1516,NB,44827,MARKET STREET,WASHINGTON STREET,LEO M BIRMINGHAM PARKWAY,1,5,09271,1,4,2,0,10-1,3,0,2,0,6,42,0,0,0,0,0,0,0,0,3,10,10,2,0,0, ,1,1,0,0,62,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,23900,2016,14,0.06073367,320.6737901,97.741566706,320.673796467818
7854,NORTH CRESCENT CIRCUIT,5,0, , , , , ,0,5,L148733 EB,L,148733,EB,0,NORTH CRESCENT CIRCUIT,DEAD END,BRECK AVENUE,1,0,09271,1,7,2,0, ,0,0,2,0,6,24,0,0,0,0,0,0,0,0,3,7,7,2,0,0, ,1,1,0,0,38,1,3,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.10481968,553.44790625,168.691259209,553.447906254649
