OID_,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Length,shape_wkt
1121,Brighton Avenue,5262000.000000000000000,3,2,1,2019,SLM,0.001215185736948,"MULTILINESTRING M ((-71.135641598999939 42.353378657000064 NAN, -71.134435394999969 42.353231184000038 NAN))"
1122,Brighton Avenue,5261800.000000000000000,3,2,1,2019,SLM,0.000874107988105,"MULTILINESTRING M ((-71.134039901999984 42.353195632000052 NAN, -71.133172684999977 42.353086090000033 NAN))"
1123,Harvard Avenue,5576000.000000000000000,3,2,,2010,BL,0.000123590513139,"MULTILINESTRING M ((-71.132081847999984 42.352948687000037 NAN, -71.132106748999945 42.353069743000049 NAN))"
1124,Harvard Avenue,5262800.000000000000000,3,2,,2010,BL,0.001323318397183,"MULTILINESTRING M ((-71.131447248999962 42.351162957000042 NAN, -71.131601452999973 42.351451545000032 NAN, -71.131733511999983 42.35179914400004 NAN, -71.131813601999966 42.352017157000034 NAN, -71.131927483999959 42.352392268000074 NAN))"
1125,Brighton Avenue,5426600.000000000000000,3,2,1,2019,SLM,0.000948569440239,"MULTILINESTRING M ((-71.131135730999972 42.352841560000059 NAN, -71.13019342299998 42.35273275000003 NAN))"
1126,Franklin Street,5279600.000000000000000,0,2,,2010,SLM,0.000463965257305,"MULTILINESTRING M ((-71.133068523999953 42.359731570000065 NAN, -71.13298188899995 42.359887154000035 NAN, -71.132911492999938 42.359990463000031 NAN, -71.132814016999987 42.360118442000044 NAN))"
1127,Chestnut Hill Avenue,4551100.000000000000000,5,2,,2013,SLM,0.000664337888281,"MULTILINESTRING M ((-71.155088896999985 42.339754245000051 NAN, -71.155267993999985 42.339944403000061 NAN, -71.155306074999942 42.339999136000074 NAN, -71.155329565999978 42.340076065000062 NAN, -71.155342413999961 42.34015493000004 NAN, -71.155341929999963 42.34024361400003 NAN, -71.155320218999975 42.340328290000059 NAN))"
1128,Chestnut Hill Avenue,5846000.000000000000000,5,2,,2013,BL,0.000407067716295,"MULTILINESTRING M ((-71.154760186999965 42.341215410000075 NAN, -71.154553593999935 42.341566157000045 NAN))"
1129,Commonwealth Avenue Frontage Road Eb,5108200.000000000000000,0,2,1,2013,SLM,0.000534894392333,"MULTILINESTRING M ((-71.152453538999964 42.338565922000043 NAN, -71.152215598999987 42.33904498000004 NAN))"
1130,Commonwealth Avenue Frontage Road Eb,5108500.000000000000000,0,2,1,2013,SLM,0.001005963025579,"MULTILINESTRING M ((-71.151148666999973 42.340279113000065 NAN, -71.150295248999953 42.340811691000056 NAN))"
1131,Commonwealth Avenue Frontage Road Eb,5108700.000000000000000,0,2,1,2013,SLM,0.003556143112264,"MULTILINESTRING M ((-71.150295248999953 42.340811691000056 NAN, -71.150009301999944 42.341003270000044 NAN, -71.14978218899995 42.341112139000074 NAN, -71.149547704999975 42.341195737000078 NAN, -71.149275516999978 42.341276434000065 NAN, -71.149033689999953 42.341331945000036 NAN, -71.148814630999937 42.341367876000049 NAN, -71.148554058999935 42.341406500000062 NAN, -71.14686052899998 42.341380357000048 NAN))"
1132,Chestnut Hill Avenue,5656500.000000000000000,5,2,,2013,BLSL,0.000993960539869,"MULTILINESTRING M ((-71.153729627999951 42.34847247600004 NAN, -71.153850148999936 42.348295471000029 NAN, -71.153954793999958 42.348106595000047 NAN, -71.153992549999941 42.347940767000068 NAN, -71.154000737999979 42.347795620000056 NAN, -71.153989138999975 42.347655403000033 NAN, -71.153949525999963 42.34755520200008 NAN))"
1133,Market Street,5589500.000000000000000,5,2,1,2013,BLSL,0.000340266192536,"MULTILINESTRING M ((-71.153421158999947 42.349466722000045 NAN, -71.153452388999938 42.34912789200007 NAN))"
1134,Centre Street,4870800.000000000000000,5,2,,2019,BFBL,0.003088038231250,"MULTILINESTRING M ((-71.144784858999969 42.288201793000042 NAN, -71.144640650999975 42.288240175000055 NAN, -71.144156375999955 42.288345582000034 NAN, -71.143635409999945 42.288472823000063 NAN, -71.143052985999987 42.288612251000075 NAN, -71.142934641999943 42.288667027000031 NAN, -71.142778808999935 42.288752068000065 NAN, -71.142726893999964 42.288786233000053 NAN, -71.142443144999959 42.289043062000076 NAN, -71.142026726999973 42.289410324000073 NAN))"
