"","start_station","n","start_lat","start_lng"
"210","Centre St at Washington St",1765,42.3557131474778,-71.1864057286547
"211","Centre St. at Allandale St.",2,42.300806,-71.127436
"212","Charles Circle - Charles St at Cambridge St",266708,42.3607624906102,-71.0713426357452
"213","Charles Circle - Charles St at Cambridge St TEMPORARY WINTER LOCATION",2815,42.3607576104119,-71.0713290982403
"214","Charles Circle - Charles St. at Cambridge St.",33149,42.3607649942302,-71.0708599211263
"215","Charles River Greenway - California St. at Fifth Ave",763,42.364553610532,-71.1910039186478
"216","Charles St S at Stuart",81,42.3506920255,-71.0669685011667
"217","Charles St S at Stuart St",3559,42.3507026612442,-71.0668655105347
"218","Charles St and Beacon St",9941,42.356052,-71.069849
"219","Charles St at Beacon St",18190,42.356052,-71.069849
"220","Charles St at Pinckney St",2916,42.3587253046216,-71.0707953200654
"221","Charles st and Beacon St",7058,42.356052,-71.069849
"222","Charlestown - Main St at Austin St",11361,42.375603,-71.064608
"223","Charlestown - Warren St at Chelsea St",22454,42.371848,-71.060292
"224","Charlestown Navy Yard",91705,42.37411826335,-71.0550794934007
"225","Charlestown Navy Yard (former)",456,42.3740106538449,-71.0548335313797
"226","Chelsea Square",3848,42.3900761438985,-71.0387461208743
"227","Chelsea St at Medford St",4746,42.3786952877376,-71.0528570487482
"228","Chelsea St at Saratoga St",2362,42.3797764589238,-71.027448025334
"229","Chelsea St at Vine St",6114,42.4033722777025,-71.0472116399459
"230","Chelsea Station",5561,42.3964712600653,-71.0399414296143
"231","Chestnut Hill Ave at Ledgemere Rd",4575,42.343666956369,-71.1532025406158
"232","Chestnut Hill Ave at Winship St",517,42.3455788962258,-71.1527767673226
"233","Chestnut Hill Ave. at Ledgemere Road",5,42.343697244,-71.153277093
"234","Chestnut St at Poplar St",4149,42.3776719388386,-71.0859604751711
"235","Child St at North St",31018,42.3717649184836,-71.0729414967136
"236","Child Street at Brian P. Murphy Staircase",32072,42.3719866631858,-71.0721054115583
"237","Chinatown Gate Plaza",90419,42.3514758875875,-71.0593922586879
"238","Chinatown Gate Plaza - Surface Rd. at Beach St.",16097,42.351356,-71.059367
"239","Chinatown T Stop",146316,42.3522152013294,-71.0628810955693
"240","Christian Science Plaza",24699,42.343864,-71.085918
"241","Christian Science Plaza - Massachusetts Ave at Westland Ave",241755,42.3439315200799,-71.0859895400147
"242","Church St",22880,42.3743948551585,-71.1196646721318
"243","Circuit Drive at American Legion Hwy",3038,42.2970544527724,-71.0918189009104
"244","Clarendon Hill at Broadway",16439,42.4062629309843,-71.132326961216
